
2022/06/19 (12:41:37) | ===> btop++ v.1.2.7
2022/06/19 (12:41:37) | INFO: Logger set to INFO
2022/06/19 (12:41:38) | INFO: Logger set to DEBUG
2022/06/19 (12:41:40) | INFO: Logger set to INFO

2022/12/21 (19:10:26) | ===> btop++ v.1.2.13
2022/12/21 (19:10:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/06 (22:10:37) | ===> btop++ v.1.2.13
2023/01/06 (22:10:37) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/06 (22:11:01) | ===> btop++ v.1.2.13
2023/01/06 (22:11:01) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
